FBtr	FBgn	gene	intervals(v5)	strand	RT length (codons)
FBtr0076224	FBgn0036134	Mnf-RA	chr3L:11108143-11108184	-	14
FBtr0076247	FBgn0013469	klu-RA	chr3L:10975545-10975589	-	15
FBtr0076367	FBgn0004390	Gap1-RA	chr3L:9833608-9833661	-	18
FBtr0076396	FBgn0036032	CG16711-RB	chr3L:9701702-9702433	+	244
FBtr0076398	FBgn0045823	vsg-RA	chr3L:9709323-9709562	+	80
FBtr0076431	FBgn0028431	Glu-RIB-RA	chr3L:9278482-9278511	+	10
FBtr0076636	FBgn0035914	CG6282-RA	chr3L:8608512-8609000	+	163
FBtr0076809	FBgn0035816	CG13685-RA	chr3L:7741467-7741604	+	46
FBtr0076944	FBgn0086680	vvl-RA	chr3L:6785210-6786067	+	286
FBtr0076955	FBgn0052394	CG32394-RA	chr3L:6723454-6723570	-	39
FBtr0076978	FBgn0035708	CG8398-RA	chr3L:6611095-6611229	+	45
FBtr0077027	FBgn0035643	CG13287-RA	chr3L:5876893-5876919	+	9
FBtr0077164	FBgn0035593	CG4603-RA	chr3L:5128535-5128606	+	24
FBtr0077489	FBgn0051772	CG31772-RA	chr2L:3768192-3768269	+	26
FBtr0077637	FBgn0010263	Rbp9-RB	chr2L:2963387-2964121	+	245
FBtr0077662	FBgn0015600	toc-RA	chr2L:3069570-3069713	-	48
FBtr0077810	FBgn0031408	CG10882-RA	chr2L:2231934-2232047	-	38
FBtr0077870	FBgn0031375	CG31670-RA	chr2L:1950927-1951055	-	43
FBtr0077877	FBgn0086758	chinmo-RD	chr2L:1696150-1696857	+	236
FBtr0077941	FBgn0002543	lea-RA	chr2L:1381444-1381611	-	56
FBtr0077942	FBgn0053126	NLaz-RA	chr2L:1360084-1360146	-	21
FBtr0078063	FBgn0003963	ush-RA	chr2L:539957-540019	+	21
FBtr0078185	FBgn0036980	RhoBTB-RA	chr3L:20374799-20374821+chr3L:20374892-20374982	+	38
FBtr0078322	FBgn0024150	Ac78C-RA	chr3L:21130180-21130206	-	9
FBtr0078348	FBgn0005694	Aef1-RA	chr3L:21429310-21429747	+	146
FBtr0078426	FBgn0052446	CG32446-RA	chr3L:21635208-21635261	+	18
FBtr0078509	FBgn0004449	Ten-m-RB	chr3L:22288532-22288687	-	52
FBtr0078581	FBgn0027339	jim-RB	chr3L:22790658-22791011	-	118
FBtr0078679	FBgn0037326	CG14669-RA	chr3R:1263270-1263371+chr3R:1267848-1267970+chr3R:1280346-1280459+chr3R:1280531-1280644+chr3R:1281024-1281091+chr3R:1281173-1281338	+	229
FBtr0078957	FBgn0037233	CG9778-RA	chr3R:141659-141844	-	62
FBtr0079019	FBgn0031683	CG4230-RA	chr2L:5098385-5098573	+	63
FBtr0079081	FBgn0031698	CG14023-RA	chr2L:5317210-5317812	-	201
FBtr0079094	FBgn0031707	CG14020-RA	chr2L:5518823-5518873	+	17
FBtr0079272	FBgn0031814	retm-RA	chr2L:6449708-6449851	-	48
FBtr0079300	FBgn0046704	Liprin-alpha-RA	chr2L:6730689-6730727	+	13
FBtr0079544	FBgn0013531	MED20-RA	chr2L:8071955-8072002	-	16
FBtr0079597	FBgn0032013	Scgalpha-RA	chr2L:8305164-8305193	+	10
FBtr0079691	FBgn0011259	Sema-1a-RA	chr2L:8666212-8666889	+	226
FBtr0079771	FBgn0052982	CG32982-RA	chr2L:9163450-9163464	+	5
FBtr0079890	FBgn0032172	CG5850-RA	chr2L:9961004-9961354	-	117
FBtr0079929	FBgn0000180	bib-RA	chr2L:9994659-9994781	+	41
FBtr0080148	FBgn0041781	SCAR-RA	chr2L:10981666-10981722	+	19
FBtr0080397	FBgn0032451	spict-RA	chr2L:12706448-12706471	+	8
FBtr0080493	FBgn0032474	DnaJ-H-RB	chr2L:13163397-13163549	-	51
FBtr0081002	FBgn0000183	BicD-RA	chr2L:17461666-17461725	-	20
FBtr0081040	FBgn0041184	Socs36E-RA	chr2L:18139533-18139844	-	104
FBtr0081042	FBgn0001301	kel-RA	chr2L:18130774-18131520+chr2L:18131582-18132609+chr2L:18132963-18133525+chr2L:18133588-18133613	-	788
FBtr0081073	FBgn0032694	MESR3-RA	chr2L:18661052-18661105	+	18
FBtr0081169	FBgn0002023	Lim3-RB	chr2L:19080096-19080200	-	35
FBtr0081195	FBgn0015380	drl-RA	chr2L:19207738-19207842	+	35
FBtr0081239	FBgn0000964	tj-RA	chr2L:19466292-19466423	+	44
FBtr0081282	FBgn0032796	CG10188-RB	chr2L:19503099-19503128	-	10
FBtr0081462	FBgn0032911	CG9264-RB	chr2L:21080753-21080854	+	34
FBtr0081730	FBgn0037445	CG9727-RA	chr3R:2277424-2277570	-	49
FBtr0081759	FBgn0000504	dsx-RA	chr3R:3751073-3751082+chr3R:3755893-3755951	-	23
FBtr0081808	FBgn0001138	grn-RA	chr3R:3974621-3974659	-	13
FBtr0081876	FBgn0037600	CG8007-RA	chr3R:4452744-4452872	+	43
FBtr0082151	FBgn0037766	Teh1-RA	chr3R:5654388-5654447	-	20
FBtr0082177	FBgn0041105	nerfin-2-RA	chr3R:5899176-5899415	+	80
FBtr0082288	FBgn0037848	Tsp86D-RA	chr3R:6695688-6695762	+	25
FBtr0082432	FBgn0037944	CG6923-RA	chr3R:7570634-7570660	-	9
FBtr0082533	FBgn0086910	l(3)neo38-RA	chr3R:7594538-7594561	-	8
FBtr0082562	FBgn0003651	svp-RC	chr3R:8126724-8126756	+	11
FBtr0082714	FBgn0038119	CG17319-RA	chr3R:8951791-8951832	-	14
FBtr0082914	FBgn0038202	CG12402-RA	chr3R:9931260-9931280	-	7
FBtr0083082	FBgn0026441	ear-RA	chr3R:11150007-11150048	+	14
FBtr0083261	FBgn0250823	gish-RD	chr3R:12127597-12127803	+	69
FBtr0083312	FBgn0044826	Pak3-RA	chr3R:12276881-12276922	-	14
FBtr0083381	FBgn0000015	Abd-B-RC	chr3R:12755063-12755110	-	16
FBtr0083435	FBgn0038501	CG5319-RA	chr3R:13214703-13214876	+	58
FBtr0083447	FBgn0038504	Sur-8-RA	chr3R:13222899-13223057	-	53
FBtr0083531	FBgn0038543	CG7397-RA	chr3R:13595756-13595815	-	20
FBtr0083542	FBgn0003499	sr-RA	chr3R:13958204-13958458	+	85
FBtr0083584	FBgn0004618	gl-RA	chr3R:14194299-14194523	-	75
FBtr0083611	FBgn0011481	Ssdp-RA	chr3R:14020706-14020897	-	64
FBtr0083640	FBgn0004652	fru-RH	chr3R:14247799-14248359	-	187
FBtr0083677	FBgn0038653	CG18208-RA	chr3R:14631750-14631872	-	41
FBtr0083752	FBgn0027595	CG5629-RA	chr3R:14967138-14967317	-	60
FBtr0083762	FBgn0051221	CG31221-RA	chr3R:15282990-15283094	+	35
FBtr0083859	FBgn0038740	CG4562-RA	chr3R:15693054-15693191	-	46
FBtr0083912	FBgn0023097	bon-RA	chr3R:16436559-16436780	+	74
FBtr0083932	FBgn0024944	Oamb-RA	chr3R:16515697-16515903	-	69
FBtr0083933	FBgn0024944	Oamb-RB	chr3R:16518534-16518668	-	45
FBtr0084032	FBgn0023423	slmb-RA	chr3R:16946181-16946441	-	87
FBtr0084051	FBgn0038872	NELF-A-RA	chr3R:17054509-17054547	+	13
FBtr0084161	FBgn0013759	Caki-RB	chr3R:17612312-17612404	-	31
FBtr0084169	FBgn0013948	Eip93F-RA	chr3R:17832227-17832295	+	23
FBtr0084197	FBgn0051163	CG31163-RB	chr3R:18119624-18120007	+	128
FBtr0084239	FBgn0038948	PSR-RA	chr3R:18186692-18186790	-	33
FBtr0084392	FBgn0000338	cnc-RC	chr3R:19013025-19013165	-	47
FBtr0084509	FBgn0039137	CG13604-RA	chr3R:19815158-19815193	-	12
FBtr0084522	FBgn0039126	CG13601-RA	chr3R:19752285-19752350	-	22
FBtr0084565	FBgn0039169	CG5669-RA	chr3R:20049420-20049470	-	17
FBtr0084619	FBgn0000036	nAcRalpha-96Aa-RA	chr3R:20227371-20227460	-	30
FBtr0084666	FBgn0039214	CG5794-RB	chr3R:20462126-20462179	-	18
FBtr0084683	FBgn0003429	slo-RB	chr3R:20533133-20533180	+	16
FBtr0084803	FBgn0039286	dan-RA	chr3R:21017698-21018006	+	103
FBtr0084912	FBgn0027865	Tsp96F-RA	chr3R:21700764-21700811	-	16
FBtr0085012	FBgn0039427	CG5447-RA	chr3R:22279432-22279470	+	13
FBtr0085059	FBgn0003717	Tl-RB	chr3R:22666870-22666929	+	20
FBtr0085088	FBgn0004510	Ets97D-RA	chr3R:22736774-22736833	-	20
FBtr0085220	FBgn0045862	btz-RA	chr3R:23528656-23528790	+	45
FBtr0085348	FBgn0053203	CG33203-RC	chr3R:24697581-24697721	-	47
FBtr0085365	FBgn0039633	CG11873-RA	chr3R:24932425-24932505	+	27
FBtr0085415	FBgn0005596	yemalpha-RA	chr3R:24944307-24944603	-	99
FBtr0085467	FBgn0015129	DopR2-RA	chr3R:25457689-25458498	-	270
FBtr0085474	FBgn0039690	CG1969-RB	chr3R:25567116-25567154	+	13
FBtr0085507	FBgn0004622	Takr99D-RA	chr3R:25777090-25777224	-	45
FBtr0085619	FBgn0010113	hdc-RA	chr3R:26186263-26187552	+	430
FBtr0085692	FBgn0028646	aralar1-RC	chr3R:26271891-26271926	-	12
FBtr0085701	FBgn0004606	zfh1-RB	chr3R:26611926-26612381	+	152
FBtr0085760	FBgn0086362	spn-F-RA	chr3R:27082128-27082163	+	12
FBtr0085778	FBgn0000313	chp-RA	chr3R:27030281-27030358	-	26
FBtr0085793	FBgn0028968	gammaCop-RA	chr3R:27401109-27401165	+	19
FBtr0085821	FBgn0039862	kek6-RA	chr3R:27487332-27487352	+	7
FBtr0085857	FBgn0039876	CG2126-RA	chr3R:27601001-27601072	-	24
FBtr0086111	FBgn0000054	Adf1-RA	chr2R:2554883-2554945	+	21
FBtr0086450	FBgn0026193	par-1-RA	chr2R:15370913-15371608	+	232
FBtr0086483	FBgn0015949	hrg-RA	chr2R:15552167-15552171+chr2R:15553030-15553528	-	168
FBtr0086512	FBgn0003254	rib-RA	chr2R:15167620-15167676	+	19
FBtr0086599	FBgn0004572	5-HT1B-RA	chr2R:14911054-14911089	-	12
FBtr0086628	FBgn0034400	CG15099-RA	chr2R:14724600-14724851	-	84
FBtr0086630	FBgn0034396	CG15097-RA	chr2R:14710114-14710464	-	117
FBtr0086732	FBgn0034300	CG5098-RA	chr2R:13987714-13987758	+	15
FBtr0086765	FBgn0010575	sbb-RA	chr2R:14167554-14167607	-	18
FBtr0086780	FBgn0034304	CG5742-RA	chr2R:14037055-14037180	-	42
FBtr0086916	FBgn0034215	CG4802-RA	chr2R:13316547-13316759	+	71
FBtr0087079	FBgn0034155	unc-104-RD	chr2R:12640910-12640945	-	12
FBtr0087125	FBgn0034136	DAT-RA	chr2R:12446854-12446892	-	13
FBtr0087141	FBgn0034110	Atg9-RA	chr2R:12184564-12184584	+	7
FBtr0087325	FBgn0034020	CG8179-RA	chr2R:11356799-11356855	+	19
FBtr0087356	FBgn0019968	Khc-73-RB	chr2R:11406083-11406256	-	58
FBtr0087402	FBgn0033998	CG8092-RA	chr2R:11094395-11094454	-	20
FBtr0087462	FBgn0033971	CG10209-RA	chr2R:10733836-10733922	-	29
FBtr0087468	FBgn0020767	Spred-RA	chr2R:10649265-10649543	-	93
FBtr0087603	FBgn0020620	RN-tre-RC	chr2R:9873102-9873284	-	61
FBtr0087678	FBgn0027581	CG6191-RA	chr2R:9468409-9468495	-	29
FBtr0087755	FBgn0052843	CG32843-RA	chr2R:9156071-9156553	-	161
FBtr0087793	FBgn0008654	Su(z)2-RA	chr2R:8891882-8891888+chr2R:8893270-8893346	+	28
FBtr0087978	FBgn0024732	Rep1-RA	chr2R:7936671-7936697	+	9
FBtr0088088	FBgn0033639	CG9003-RA	chr2R:7530640-7530693	-	18
FBtr0088098	FBgn0003396	shn-RA	chr2R:7103720-7103749	+	10
FBtr0088139	FBgn0000581	E(Pc)-RA	chr2R:7349319-7349348	+	10
FBtr0088214	FBgn0024836	stan-RA	chr2R:6607339-6607545	+	69
FBtr0088262	FBgn0250861	CG42236-RC	chr2R:6322728-6323228	+	167
FBtr0088275	FBgn0004399	psq-RB	chr2R:6502347-6502586	+	80
FBtr0088368	FBgn0000448	Hr46-RA	chr2R:6095387-6095512	-	42
FBtr0088410	FBgn0001291	Jra-RB	chr2R:5985642-5985890	+	83
FBtr0088566	FBgn0015838	Vang-RA	chr2R:4992894-4992974	+	27
FBtr0088686	FBgn0033337	CG8272-RA	chr2R:4776479-4776541	-	21
FBtr0088756	FBgn0050361	mXr-RC	chr2R:4362749-4362919	-	57
FBtr0088776	FBgn0020279	lig-RC	chr2R:3965335-3965802	+	156
FBtr0088865	FBgn0025360	Optix-RA	chr2R:3929506-3929520	+	5
FBtr0089038	FBgn0028642	esn-RB	chr2R:3014333-3014530	+	66
FBtr0089288	FBgn0016930	smi35A-RA	chr2L:14186066-14186137	-	24
FBtr0089387	FBgn0036789	AlCR2-RB	chr3L:18479775-18479828	-	18
FBtr0089389	FBgn0020912	Ptx1-RA	chr3R:26755460-26755762	+	101
FBtr0089477	FBgn0004575	Syn-RA	chr3R:6043447-6044413+chr3R:6045501-6045865	+	444
FBtr0089521	FBgn0011672	Mvl-RB	chr3R:16877781-16877909	-	43
FBtr0089796	FBgn0052206	CG32206-RB	chr3L:19336317-19336370	-	18
FBtr0089804	FBgn0001203	Hk-RA	chrX:10133330-10133476	-	49
FBtr0089815	FBgn0023531	CG32809-RD	chrX:1569869-1569913	-	15
FBtr0100019	FBgn0038063	Octbeta2R-RA	chr3R:8378366-8378647	-	94
FBtr0100025	FBgn0250851	CG33981-RA	chr2R:13668605-13668700	-	32
FBtr0100113	FBgn0015269	Nf1-RD	chr3R:21820297-21820383	+	29
FBtr0100208	FBgn0003659	Sxl-RH	chrX:6972268-6973335	-	356
FBtr0110799	FBgn0031897	CG13784-RC	chr2L:7206348-7208015	-	556
FBtr0110905	FBgn0083971	CG34135-RB	chr3R:4575963-4576154	-	64
FBtr0110970	FBgn0034389	Mctp-RA	chr2R:14661249-14661458	+	70
FBtr0110992	FBgn0083981	CG34145-RA	chrX:20463153-20463188	-	12
FBtr0110995	FBgn0022131	aPKC-RB	chr2R:10833569-10833922+chr2R:10833982-10834020	-	131
FBtr0111005	FBgn0023095	caps-RC	chr3L:13271132-13271224	+	31
FBtr0112517	FBgn0085347	CG34318-RA	chr2R:11354444-11356798	+	785
FBtr0112561	FBgn0085380	CG34351-RC	chr2L:4720454-4720474	+	7
FBtr0112578	FBgn0085390	Dgk-RC	chr2R:3724211-3724327	-	39
FBtr0112596	FBgn0085400	CG34371-RA	chr2R:19051948-19052049	-	34
FBtr0112617	FBgn0085409	CG34380-RC	chr2L:6208384-6208871+chr2L:6209056-6209068	+	167
FBtr0112670	FBgn0085434	NaCP60E-RC	chr2R:20805668-20805823	+	52
FBtr0112712	FBgn0085447	sif-RF	chr3L:5735149-5735322	+	58
FBtr0112716	FBgn0085449	CG34420-RC	chr3L:11844611-11844805	-	65
FBtr0112753	FBgn0085478	CG34449-RA	chrX:9220938-9221291	-	118
FBtr0112889	FBgn0016754	sba-RD	chr3R:19720661-19720729	-	23
FBtr0113041	FBgn0032600	CG17912-RB	chr2L:16749428-16749607	+	60
FBtr0113254	FBgn0038814	CG15923-RB	chr3R:16438280-16438330	-	17
FBtr0113306	FBgn0039673	CG7568-RB	chr3R:25424974-25425018	-	15
FBtr0113392	FBgn0051140	CG31140-RD	chr3R:19806499-19806546	+	16
FBtr0114466	FBgn0029837	Tsp5D-RB	chrX:5963983-5963994	-	4
FBtr0273246	FBgn0039536	CG18437-RB	chr3R:23502618-23502653	+	12
FBtr0273324	FBgn0039187	CG6454-RD	chr3R:20181501-20181524	+	8
FBtr0273378	FBgn0051688	CG31688-RB	chr2L:20441858-20441890	+	11
FBtr0273429	FBgn0029985	CG1531-RD	chrX:7846279-7846329	+	17
FBtr0273438	FBgn0036259	CG9760-RC	chr3L:12150939-12151058	-	40
FBtr0273450	FBgn0053179	beat-IIIb-RC	chr2L:16990474-16990503+chr2L:16991981-16992125+chr2L:16992657-16993042	+	187
FBtr0289997	FBgn0051048	CG31048-RC	chr3R:24694786-24695340	+	185
FBtr0290009	FBgn0053960	CG33960-RB	chr2R:12316321-12316327+chr2R:12316836-12316945	+	39
FBtr0290010	FBgn0083962	CG34126-RB	chr2L:4991612-4991662	+	17
FBtr0290090	FBgn0085392	CG34363-RD	chr2R:6211226-6211285	-	20
FBtr0290126	FBgn0085429	CG34400-RC	chr3L:13865037-13865828	-	264
FBtr0290131	FBgn0036235	CG6938-RB	chr3L:11983445-11983492	+	16
FBtr0290283	FBgn0011582	DopR-RB	chr3R:10003525-10003641	-	39
FBtr0299509	FBgn0259099	CG42247-RC	chr3L:14935279-14935404	+	42
FBtr0299549	FBgn0259141	CG42256-RH	chr3L:7155411-7155527	-	39
FBtr0299585	FBgn0030810	CG9059-RD	chrX:16866729-16867067	-	113
FBtr0299597	FBgn0259150	CG42265-RA	chrX:5547491-5547550	-	20
FBtr0299598	FBgn0259150	CG42265-RB	chrX:5547551-5547913	-	121
FBtr0299635	FBgn0259171	Pde9-RB	chrX:12685497-12685787	-	97
FBtr0299863	FBgn0259242	CG42340-RC	chrX:6361067-6361774	-	236
FBtr0300106	FBgn0004102	oc-RC	chrX:8526337-8526702	-	122
FBtr0300110	FBgn0259820	mun-RB	chr3R:16207021-16207035	-	5
FBtr0300119	FBgn0035845	CG13675-RC	chr3L:8153654-8154265	-	204
FBtr0300244	FBgn0259934	CG42457-RB	chr3R:13839189-13839338	+	50
FBtr0300259	FBgn0000659	fkh-RB	chr3R:24408719-24408742	-	8
FBtr0300260	FBgn0086680	vvl-RB	chr3L:6786068-6786106	+	13
FBtr0300330	FBgn0038237	Pde6-RB	chr3R:10341335-10341352	-	6
FBtr0300518	FBgn0259172	rn-RE	chr3R:3099746-3099763	-	6
