2696	Splice Junction Annotation D. melanogaster Embryo 16-18h	2696_BS66_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2696_BS66_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Embryo 16-18h	integrated-gene-model	all			Dmel_r5.32	modENCODE_2696	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Embryo 16-18h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2696.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Embryo-16-18h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2696gff3;2696_BS66_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Embryo 16-18h			Susan Celniker
2697	Splice Junction Annotation D. melanogaster Embryo 18-20h	2697_BS67_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2697_BS67_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Embryo 18-20h	integrated-gene-model	all			Dmel_r5.32	modENCODE_2697	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Embryo 18-20h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2697.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Embryo-18-20h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2697gff3;2697_BS67_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Embryo 18-20h			Susan Celniker
2698	Splice Junction Annotation D. melanogaster Embryo 20-22h	2698_BS71_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2698_BS71_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Embryo 20-22h	integrated-gene-model	all			Dmel_r5.32	modENCODE_2698	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Embryo 20-22h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2698.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Embryo-20-22h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2698gff3;2698_BS71_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Embryo 20-22h			Susan Celniker
2699	Splice Junction Annotation D. melanogaster Embryo 22-24h	2699_BS73_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2699_BS73_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Embryo 22-24h	integrated-gene-model	all			Dmel_r5.32	modENCODE_2699	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Embryo 22-24h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2699.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Embryo-22-24h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2699gff3;2699_BS73_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Embryo 22-24h			Susan Celniker
2700	Splice Junction Annotation D. melanogaster Larvae L1	2700_BS107_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2700_BS107_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_L1 stage larvae	integrated-gene-model	all			Dmel_r5.32	modENCODE_2700	total-RNA;Strain_Y cn bw sp;Developmental-Stage_L1;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2700.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_L1;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2700gff3;2700_BS107_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		L1			Susan Celniker
2701	Splice Junction Annotation D. melanogaster Larvae L2	2701_BS111_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2701_BS111_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_L2 stage larvae	integrated-gene-model	all			Dmel_r5.32	modENCODE_2701	total-RNA;Strain_Y cn bw sp;Developmental-Stage_L2;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2701.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_L2;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2701gff3;2701_BS111_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		L2			Susan Celniker
2702	Splice Junction Annotation D. melanogaster Larvae L3 12hr post-molt	2702_BS113_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2702_BS113_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_L3 stage larvae, 12 hr post-molt	integrated-gene-model	all			Dmel_r5.32	modENCODE_2702	total-RNA;Strain_Y cn bw sp;Developmental-Stage_L3 stage larvae, 12h post-molt;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2702.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_L3-stage-larvae-12h-post-molt;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2702gff3;2702_BS113_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		L3 stage larvae, 12h post-molt			Susan Celniker
2703	Splice Junction Annotation D. melanogaster Larvae L3 dark blue gut PS1-2	2703_BS196_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2703_BS196_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_L3 stage larvae, dark blue gut PS(1-2) stage	integrated-gene-model	all			Dmel_r5.32	modENCODE_2703	total-RNA;Strain_Y cn bw sp;Developmental-Stage_L3 stage larvae, dark blue gut PS(1-2) stage;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2703.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_L3-stage-larvae-dark-blue-gut-PS-1-2-stage;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2703gff3;2703_BS196_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		L3 stage larvae, dark blue gut PS(1-2) stage			Susan Celniker
2704	Splice Junction Annotation D. melanogaster Larvae L3 light blue gut PS3-6	2704_BS200_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2704_BS200_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_L3 stage larvae, light blue gut PS(3-6) stage	integrated-gene-model	all			Dmel_r5.32	modENCODE_2704	total-RNA;Strain_Y cn bw sp;Developmental-Stage_L3 stage larvae, light blue gut PS(3-6) stage;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2704.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_L3-stage-larvae-light-blue-gut-PS-3-6-stage;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2704gff3;2704_BS200_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		L3 stage larvae, light blue gut PS(3-6) stage			Susan Celniker
2705	Splice Junction Annotation D. melanogaster Larvae L3 clear gut PS7-9	2705_BS203_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2705_BS203_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_L3 stage larvae, clear gut PS(7-9) stage	integrated-gene-model	all			Dmel_r5.32	modENCODE_2705	total-RNA;Strain_Y cn bw sp;Developmental-Stage_L3 stage larvae, clear gut PS(7-9) stage;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2705.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_L3-stage-larvae-clear-gut-PS-7-9-stage;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2705gff3;2705_BS203_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		L3 stage larvae, clear gut PS(7-9) stage			Susan Celniker
2706	Splice Junction Annotation D. melanogaster White prepupae (WPP)	2706_BS129_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2706_BS129_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_White prepupae (WPP)	integrated-gene-model	all			Dmel_r5.32	modENCODE_2706	total-RNA;Strain_Y cn bw sp;Developmental-Stage_WPP;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2706.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_WPP;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2706gff3;2706_BS129_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		WPP			Susan Celniker
2707	Splice Junction Annotation D. melanogaster White prepupae (WPP) + 12h	2707_BS133_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2707_BS133_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_White prepupae (WPP) + 12 hr	integrated-gene-model	all			Dmel_r5.32	modENCODE_2707	total-RNA;Strain_Y cn bw sp;Developmental-Stage_White prepupae (WPP) + 12h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2707.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_White-prepupae-WPP-+-12h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2707gff3;2707_BS133_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		White prepupae (WPP) + 12h			Susan Celniker
2708	Splice Junction Annotation D. melanogaster White prepupae (WPP) + 24h	2708_BS136_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2708_BS136_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_White prepupae (WPP) + 24 hr	integrated-gene-model	all			Dmel_r5.32	modENCODE_2708	total-RNA;Strain_Y cn bw sp;Developmental-Stage_White prepupae (WPP) + 24h;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2708.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_White-prepupae-WPP-+-24h;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2708gff3;2708_BS136_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		White prepupae (WPP) + 24h			Susan Celniker
2709	Splice Junction Annotation D. melanogaster White prepupae (WPP) + 2 days	2709_BS137_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2709_BS137_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_White prepupae (WPP) + 2 days	integrated-gene-model	all			Dmel_r5.32	modENCODE_2709	total-RNA;Strain_Y cn bw sp;Developmental-Stage_White prepupae (WPP) + 2 days;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2709.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_White-prepupae-WPP-+-2-days;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2709gff3;2709_BS137_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		White prepupae (WPP) + 2 days			Susan Celniker
2710	Splice Junction Annotation D. melanogaster White prepupae (WPP) + 3 days	2710_BS140_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2710_BS140_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_White prepupae (WPP) + 3 days	integrated-gene-model	all			Dmel_r5.32	modENCODE_2710	total-RNA;Strain_Y cn bw sp;Developmental-Stage_White prepupae (WPP) + 3 days;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2710.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_White-prepupae-WPP-+-3-days;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2710gff3;2710_BS140_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		White prepupae (WPP) + 3 days			Susan Celniker
2711	Splice Junction Annotation D. melanogaster White prepupae (WPP) + 4 days	2711_BS143_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2711_BS143_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_White prepupae (WPP) + 4 days	integrated-gene-model	all			Dmel_r5.32	modENCODE_2711	total-RNA;Strain_Y cn bw sp;Developmental-Stage_White prepupae (WPP) + 4 days;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2711.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_White-prepupae-WPP-+-4-days;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2711gff3;2711_BS143_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		White prepupae (WPP) + 4 days			Susan Celniker
2712	Splice Junction Annotation D. melanogaster Adult Female, eclosion + 1 day	2712_BS153_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2712_BS153_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Adult Female, eclosion + 1 day	integrated-gene-model	all			Dmel_r5.32	modENCODE_2712	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Adult Female, eclosion + 1 day;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2712.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Adult-Female-eclosion-+-1-day;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2712gff3;2712_BS153_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Adult Female, eclosion + 1 day			Susan Celniker
2713	Splice Junction Annotation D. melanogaster Adult Male, eclosion + 1 day	2713_BS150_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2713_BS150_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Adult Male, eclosion + 1 day	integrated-gene-model	all			Dmel_r5.32	modENCODE_2713	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Adult Male, eclosion + 1 day;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2713.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Adult-Male-eclosion-+-1-day;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2713gff3;2713_BS150_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Adult Male, eclosion + 1 day			Susan Celniker
2714	Splice Junction Annotation D. melanogaster Adult Female, eclosion + 5 days	2714_BS159_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	/modencode/data/all_files/dmel-interpreted-2/2714_BS159_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3.gz	Dmel_r5.32	mRNA	integrated-gene-model	gene-model_gff3	total-RNA	Strain_Y cn bw sp;Developmental-Stage_Adult Female, eclosion + 5 days	integrated-gene-model	all			Dmel_r5.32	modENCODE_2714	total-RNA;Strain_Y cn bw sp;Developmental-Stage_Adult Female, eclosion + 5 days;integrated-gene-model;Rep-1;Dmel_r5.32;modENCODE_2714.gff3	total-RNA;Strain_Y-cn-bw-sp;Developmental-Stage_Adult-Female-eclosion-+-5-days;integrated-gene-model;Rep-1;Dmel_r532;modENCODE_2714gff3;2714_BS159_all_unique_junctions_jctn_summary_offset_entropy_histogram_.txt.gff3	total-RNA	Y cn bw sp		Adult Female, eclosion + 5 days			Susan Celniker
